Username,Additions,Deletions,Commits,Pull Requests,Issues Created,Issues Closed,Review Comments
zomars,476658,350925,1321,0,0,0,0
PeerRich,282628,179409,1123,7,2,1,0
emrysal,112934,103686,660,5,2,1,6
kodiakhq[bot],169498,130320,517,0,0,0,0
hariombalhara,147715,109959,382,6,5,1,0
crowdin-bot,60654,36681,355,0,0,0,0
baileypumfleet,62582,52033,306,0,0,0,1
sean-brydon,102756,71817,282,1,1,0,0
github-actions[bot],60254,35584,279,0,6,0,0
CarinaWolli,83245,65998,214,3,2,2,0
alannnc,73052,51015,210,1,1,0,0
joeauyeung,86175,76948,191,2,0,0,0
Udit-takkar,54797,37482,181,1,5,1,0
G3root,7139,4825,179,5,3,2,0
alishaz-polymath,32671,35921,154,0,0,0,0
leog,46784,47692,154,0,0,0,0
KATT,22971,17496,131,0,0,0,0
gitstart,11221,25927,100,0,0,0,0
JeroenReumkens,32171,38653,69,2,0,0,0
agustif,23523,29161,60,0,0,0,0
mihaic195,12899,10958,46,0,0,0,0
femyeda,8110,5854,46,0,0,0,0
gitstart-calcom,3366,1765,42,5,5,1,0
dependabot[bot],2297,1509,42,0,0,0,0
niteshsingh1357,848,413,36,0,0,0,0
matheusmuniz03,848,413,36,0,0,0,0
keithwillcode,12931,9739,34,3,2,1,0
roae,19370,11900,32,0,0,0,0
Malte-D,2436,988,32,0,0,0,0
Thiagomn1,828,359,28,0,0,0,0
gracebir,643,287,25,0,0,0,0
MatheusBeniniF,342,266,24,0,0,0,0
Toledodev,359,277,23,0,0,0,0
juliopiubello,6883,23806,22,0,0,0,0
joe-shajan,588,1903,20,4,0,0,0
denik1981,8788,6310,20,0,0,0,0
harshsinghatz,1273,573,18,0,0,0,0
miguelnietoa,7397,23756,16,0,0,0,0
MuriloAmarals,136,167,16,0,0,0,0
depfu[bot],14138,53540,15,0,0,0,0
jamiepine,5134,2879,15,0,0,0,0
KlingerMatheus,145,147,13,0,0,0,0
seunexplicit,72,41,12,0,0,0,0
p6l-richard,73,42,11,1,0,0,0
Hybes,387,154,11,0,0,0,0
phishy,281,90,11,0,0,0,0
deepakprabhakara,4641,1828,11,0,0,0,0
gGh00sTt,225,157,11,0,0,0,0
mocherfaoui,1150,501,10,0,0,0,0
RubensRafael,148,138,10,0,0,0,0
afzalsayed96,281,158,10,0,0,0,0
anonrig,1010,869,9,0,0,0,0
Emmanuel-Melon,120,129,9,0,0,0,0
buschco,6830,23692,9,0,0,0,0
saideepesh000,304,115,8,2,2,0,0
esau-morais,42098,29458,8,0,0,0,0
AaronPresley,697,245,8,0,0,0,0
om-ray,444,83,8,0,0,0,0
julianbenegas,20872,8124,8,0,0,0,0
Hashen110,6720,23667,8,0,0,0,0
bytesbuffer,4013,667,8,0,0,0,0
Mythie,13961,9324,7,0,0,0,0
rene-mueller,437,680,7,0,0,0,0
Jaibles,249,230,7,0,2,1,0
vklimontovich,356,1374,7,0,0,0,0
iamkun,7300,23893,7,0,0,0,0
podviaznikov,135,176,7,0,0,0,0
devkiran,2132,1692,6,0,0,0,0
luiisca,1168,591,6,0,0,0,0
hussamkhatib,688,1189,6,0,0,0,0
imkrunal,240,42,6,0,0,0,0
noahflk,1672,248,6,0,0,0,0
juliansg022,53,30,6,0,0,0,0
natelindev,768,345,6,0,0,0,0
ikadix,83,73,6,0,0,0,0
juliusmarminge,3671,7207,5,1,1,1,0
gitstart-app[bot],119,58,5,0,0,0,0
hexcowboy,3662,541,5,0,0,0,0
ee07b570,1363,44,5,0,0,0,0
andreaestefania12,15112,29692,5,0,0,0,0
Jenietoc,9916,7119,5,0,0,0,0
ShaneMaglangit,701,241,4,0,0,0,0
dezerb,79,12,4,0,0,0,0
kemiller,7043,23649,4,0,0,0,0
with-shrey,4895,1737,4,0,0,0,0
milospuac,7059,91,4,0,1,0,0
lunchpaillola,1162,62,4,0,0,0,0
edanfesi,12296,2883,4,0,0,0,0
arthurdenner,51,30,4,0,0,0,0
flemming-petersen,34,3,4,0,0,0,0
zzwt,34,17,4,0,0,0,0
Nico-J,267,85,4,0,0,0,0
50bbx,754,123,4,0,0,0,6
rymaju,14,12,4,0,0,0,1
harad,37,8,4,0,0,0,0
agordhandas,6706,23645,3,0,0,0,0
palerdot,6722,23664,3,0,0,0,0
philippdormann,185,34,3,0,0,0,0
mfts,9,5,3,0,0,0,0
hedwardd,54,14,3,0,0,0,0
